from,to,value,count
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x4cd4f0d7ae8d3828768f44c1f92e66f32cde7bcc,19540.4,6
0xa97c182142d35c374c003fccc01750664986977a,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,19121.01427445,9
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x3f03874e36114a22a080d37e34d4fabbaee4e042,19028.83,8
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x340318bb11c5e380f1e47368dfdda22be4ac7f7f,18953.0,8
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x464b4d760fc4ed7dcece718541ec0bbf262ba2c9,18783.3,5
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xf3ac56fbc5989c2eab57b56b4e6a47a278949878,18770.8,12
0x2376ab13294df098c701fb4ad614eefb78600918,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,18716.33,8
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x3283eb76f593f8c3bc45019f30cb2bab1b1ba809,18075.5,4
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x645beaa636aa50424b496967b27de0271e3022a4,18017.0,79
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x2e8a05c12a9e5988709bc5442cba93ab942a8373,18016.0,9
0xb52f7c9d719561c4aeb90ea35060f20635d7f2f9,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,18000.0,2
0xc0518fe84942b6ab03fc6665e27a5da086e08c27,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,17219.5,12
0x9de6e89225ffc9941e46cacf16a26e88c6a46b4b,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,17203.9,13
0x2b133373f5ca9834926c5374c8106f02f3d48a57,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,17051.47,7
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xfdb7725af61daedf0b90d92cb915a234d2893b57,16668.1,4
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xdaccb8dd13be5db3be42b5d814d553810e0c1f8e,16652.0,14
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xa8f7b14ae026b6a214eefcdceaec9a4b2d1ffd51,16560.2,11
0xdaccb8dd13be5db3be42b5d814d553810e0c1f8e,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,16073.0,99
0x386c26622d04a7c4656f20bf59e861f8981463da,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,15791.3,5
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x476f131557d622e43a350e37681edf48cfd922ee,15580.5,17
0xcb7677fe6c70df62d9a8c8d5c3e1d7c2b7e58bc8,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,15555.0,4
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x4bc65cb66f442151d48fb54126bdfee14b96b0fd,15514.8,66
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x5b7e8bd86ea3a0110ad6711c00bf14f70b8d0f8c,15500.0,8
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xb29f0cec6495e4804f9de93d0d6ac7e1bba22d43,15297.4,18
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x907939d123edaf9828bb489800d58b5e857c1f0b,15265.4,14
